codigo_produto;nome;codigo_de_barras;sigla_da_unidade_de_medida;marca_do_produto;categoria;subcategoria_nivel_1;subcategoria_nivel_2;preco_custo;preco_fornecedor;preco_minimo_de_venda;preco_venda;peso;estoque_minimo;origem_produto;receita_do_produto;referencia_interna;enviar_dados_balanca;informacao_adicional;cnpj_fornecedor;nome_do_fornecedor;multiplicador;sigla_pacote;grade_1;grade_2;opcao_de_grade_1;opcao_de_grade_2;NCM;cest;aliquota_cofins;aliquota_ipi;aliquota_pis;enquadramento_de_ipi;codigo_situacao_tributaria_ipi;codigo_situacao_tributaria_pis;codigo_situacao_tributaria_icms;aliquota_icms;mva;reducao_na_base_de_calculo;origem_icms;destino_icms;csosn;codigo_beneficio_fiscal_regra_icms;codigo_beneficio_fiscal_produto;valor_base_calculo_icms_st_retido_anteriormente;valor_icms_st_retido_anteriormente
109;BLUSA PITT GOLA CARECA;;UN;;;;;1;;;79.000;;;;;95150100;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
110;BLUSA PITT POLO;;UN;;;;;1;;;99.000;;;;;95130238;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
111;BLUSA PITT GOLA CARECA;;UN;;;;;1;;;68.000;;;;;95250088;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
112;BLUSA PITT GOLA CARECA;;UN;;;;;1;;;70.000;;;;;90060096;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
113;BLUSA PITT GOLA CARECA;;UN;;;;;1;;;65.000;;;;;95220016;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
114;CALCA PITT JEANS MEDIA SKINNY;;UN;;;;;1;;;145.000;;;;;13610011;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
115;CALCA BANA BANA PRETA;;UN;;;;;1;;;170.000;;;;;40627;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
116;CALCA PITT JEANS CONTEMPORANEA;;UN;;;;;1;;;156.000;;;;;16530003;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
117;CALCA STOP FEMININA;;UN;;;;;1;;;157.000;;;;;CA3849;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
118;CALCA BANA BANA FEMININA;;UN;;;;;1;;;179.000;;;;;40649;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
119;CALCA PITT MEDIA CIGARET;;UN;;;;;1;;;175.000;;;;;17820027;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
120;CALCA EVEIZA COM ELASTICO;;UN;;;;;1;;;210.000;;;;;220063;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
121;CALCA PITT CINTURA ALTA;;UN;;;;;1;;;169.000;;;;;20370001;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
122;CALCA BANA BANA;;UN;;;;;1;;;189.000;;;;;40605;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
123;CALCA PITT COMTEMPORANEA;;UN;;;;;1;;;147.000;;;;;15940053;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
124;CALCA PITT CONTEMPORANEA;;UN;;;;;1;;;149.000;;;;;11120079;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
125;CALCA PITT CONTEMPORANEA ELASTICO;;UN;;;;;1;;;145.000;;;;;16440011;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
126;CALCA PITT CONTEMPORANEA;;UN;;;;;1;;;157.000;;;;;15940035;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
127;CALCA COLL DENIM;;UN;;;;;1;;;189.000;;;;;1611020;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
128;CALCA STOP FEMININA;;UN;;;;;1;;;149.000;;;;;CA3855;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
129;CALCA BANA BANA;;UN;;;;;1;;;199.900;;;;;40651;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
130;CALCA STOP FEMININA;;UN;;;;;1;;;159.000;;;;;CN3367;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
