CODIGO;CODIGO_BARRAS;NOME_PRODUTO;UN_MEDIDA;Estoque;PRECO_FORNECEDOR;PRECO_CUSTO;PRECO_MINIMO_VENDA;PRECO_VENDA;NCM;COD_SITUACAO T._ICM;CSOSN;ALICOTA_ICMS;REDUCAO_ICMS;MVA
9312,00;9312,00;BOMBA DAGUA 1/2 ECOBOMBA;UND;0.0;114.9;114.9;165.0;189.0;7326.19.00;60.0;500.0;0.0;0.0;0.0
9435,00;207655,00;GRAMPO 1X9 GALVANIZADO BELGO;PCT;2.0;13.4;13.4;18.0;20.0;7317.00.20;60.0;500.0;0.0;0.0;0.0
9620,00;9620,00;TUBO ESG 40MM MINAS TUBOS;BAR;43500000.0;8.5;8.5;15.0;15.5;3917.23.00;60.0;500.0;0.0;0.0;0.0
9634,00;7900000000000,00;VARAL DE AÇO 15MT ARTVARAL;UND;2.0;2.5;2.5;6.0;7.0;7326.19.00;60.0;500.0;0.0;0.0;0.0
9707,00;;"*TUBO GALV 1"" AÇO CHAPA18";UND;6.0;81.5;81.5;162.0;162.0;7306.30.00;0.0;102.0;18.0;0.0;0.0
9767,00;9767,00;*ADAP CX DAGUA 20X1/2 C/FLANGE ANEL VICAP;UND;10.0;3.05;3.05;9.0;10.0;3917.40.90;60.0;500.0;0.0;0.0;0.0
9771,00;9771,00;REJUNTE 1KG ACRILICO BRANCO QUARTZOLIT;KGS;0.0;11.67;12.2;24.0;26.9;3214.90.00;60.0;500.0;0.0;0.0;0.0
9772,00;9772,00;REJUNTE 1KG ACRILICO CZ PLATINA QUARTZOLIT;KGS;0.0;11.67;12.2;24.0;26.9;3214.90.00;60.0;500.0;0.0;0.0;0.0
9782,00;9782,00;*DISCO CORTE INOX 180X1.6 SUPER FINE WURTH;UN;7.0;6.9;7.14;7.14;14.0;6805.30.20;0.0;102.0;18.0;0.0;0.0
9783,00;123456,00;*DISCO LIXA C/VELCRO 6F G80 GOLD 150MM WURTH;UN;8.0;1.71;1.77;1.77;4.5;6805.20.00;0.0;102.0;18.0;0.0;0.0
9784,00;9784,00;*DISCO LIXA C/VELCRO G120 150MM 6F  GOLD WURTH;UN;19.0;1.71;1.77;1.77;4.5;6805.20.00;0.0;102.0;18.0;0.0;0.0
9785,00;9785,00;*DISCO CORTE 230X2.5X22 ABRAS ACO W-MAX;UN;8.0;9.11;9.43;9.43;17.9;6805.30.20;0.0;102.0;18.0;0.0;0.0
9786,00;9786,00;*LIXA ESPONJA G120 100X70X25 MAS MET MAD WURTH;UN;3.0;4.62;4.79;4.79;10.0;6805.30.90;0.0;102.0;18.0;0.0;0.0
9787,00;9787,00;*LIXA ESPONJA G160 100X70X25 MAS MET MAD WURTH;UN;5.0;4.62;4.79;4.79;10.0;6805.30.90;0.0;102.0;18.0;0.0;0.0
9788,00;9788,00;*LIXA ESPONJA G80 100X70X25 MAS MET MAD WURTH;UN;2.0;5.03;5.21;5.21;10.0;6805.30.90;0.0;102.0;18.0;0.0;0.0
9789,00;9789,00;*LIXA ESPONJA G400  100X70X25 MAS MET MAD WURTH;UN;1.0;5.03;5.21;5.21;10.0;6805.30.90;0.0;102.0;18.0;0.0;0.0
9790,00;9790,00;*DISCO REMOVEDOR EM NYLON 115X22.23 WURTH;UN;0.0;59.8;61.9;85.0;99.0;6805.10.00;0.0;102.0;18.0;0.0;0.0
9791,00;9791,00;*DISCO SEGMENTADO PRO-HD 110MM WURTH;UN;2.0;26.15;27.07;27.07;46.9;6804.21.19;0.0;102.0;18.0;0.0;0.0
9792,00;9792,00;*BROCA ENCAIXE RAP 8X260MM W-MAX;UN;0.0;16.56;18.52;18.52;33.5;8207.50.90;0.0;102.0;18.0;0.0;0.0
9793,00;9793,00;*ARGAMASSA ACII SUPER 20KG QUARTZOLIT;UN;0.0;31.5;31.5;39.52;44.5;3214.90.00;60.0;500.0;0.0;0.0;0.0
9802,00;9802,00;*LUVA PIGMENTADA PRETA TRICOTADA KALIPSO;PAR;0.0;3.31;3.31;3.31;7.0;6116.93.00;0.0;102.0;18.0;0.0;0.0
9827,00;9827,00;*CORANTE VIOLETA 50ML HIDROCOLOR;UND;7.0;2.25;2.25;2.25;5.0;3205.00.00;60.0;500.0;0.0;0.0;0.0
9843,00;9843,00;GABINETE VIDRO RETO B40CQ PPR BRANCO FULL VMEX;UND;2.0;319.0;319.0;450.0;499.99;8302.41.00;60.0;500.0;0.0;0.0;0.0
9844,00;9844,00;CANTO 30X15 VIDRO C/SUPORTE AGN;UND;3.0;25.0;25.0;45.0;50.0;8302.41.00;60.0;500.0;0.0;0.0;0.0
9845,00;9845,00;CANTO 30X20 VIDRO C/SUPORTE AGN;UND;0.0;17.0;17.0;35.0;38.9;8302.41.00;60.0;500.0;0.0;0.0;0.0
9846,00;9846,00;KIT BANHEIRO RET VIDRO KR CARRARA PRETO VMEX;UND;0.0;99.0;99.0;180.0;199.99;8302.41.00;60.0;500.0;0.0;0.0;0.0
9847,00;9847,00;CANTO 30X30 VIDRO ARTE VIDROS;UND;0.0;18.0;18.0;35.0;38.9;8302.41.00;60.0;500.0;0.0;0.0;0.0
9848,00;9848,00;CANTO 25X25 VIDRO ARTE VIDROS;UND;3.0;16.0;16.0;32.0;35.9;8302.41.00;60.0;500.0;0.0;0.0;0.0
9849,00;9849,00;CANTO 50X15 VIDRO ARTE VIDROS;UND;0.0;19.0;19.0;35.0;38.9;8302.41.00;60.0;500.0;0.0;0.0;0.0
9869,00;9869,00;*CABO P/ENXADA 1.40M MADEIRA ROMANI;UN;8.0;11.45;11.46;19.9;19.9;4404.20.00;;;;;
9872,00;9872,00;*SPOT POPYLUX SIMPLES BRANCO UTRON UT8-12;UND;2.0;6.8;7.57;18.0;20.0;9405.11.90;60.0;500.0;0.0;0.0;0.0
9885,00;7900000000000,00;*RODA CARRINHO MAO FLEX EIXO 1 - WORKER;UND;0.0;46.58;46.69;75.0;83.5;8716.90.90;60.0;500.0;0.0;0.0;0.0
9887,00;9887,00;*TOMADA SOBREPOR 2P+T 20A BR MECT VERT MILL;UND;2.0;5.14;5.14;10.0;11.5;8536.69.10;60.0;500.0;0.0;0.0;0.0
9888,00;9888,00;*TINTA 3.6L FC AVELUDADO BR/NV DELANIL IQUINE;GL;3.0;39.31;39.31;60.0;66.9;3209.10.10;;;;;
9918,00;9918,00;TANQUE 1.20X0.50 PRETO DELTA BELLA PIA;UN;1.0;135.23;135.23;180.0;199.9;6910.90.00;60.0;500.0;0.0;0.0;0.0
9929,00;7890000000000,00;*MASSA CORRIDA 25KG CORAL;BAL;0.0;59.98;59.98;80.0;89.0;3214.10.20;0.0;102.0;18.0;0.0;0.0
9980,00;9980,00;*BOTA SEG BIDENSIDADE CAFE Nº39 CABRITO;PARES;1.0;65.79;65.79;99.9;99.9;6405.10.10;0.0;102.0;18.0;0.0;0.0
9984,00;9984,00;*BASE P/RELE FOTOCELULA TECNOLINSA L METAL;UN;29.0;7.55;7.55;7.55;16.9;8536.69.90;60.0;500.0;0.0;0.0;0.0
9986,00;7900000000000,00;*LUZ MAX LED NOTURNA 3W MACA;UN;1.0;8.04;8.04;8.04;17.9;9405.11.90;60.0;500.0;0.0;0.0;0.0
9996,00;9996,00;"BENGALA 1"" 3MT DIVIDIDA C/CURVA PLASNETAL";UN;32.0;14.5;14.5;25.0;27.9;3917.23.00;60.0;500.0;0.0;0.0;0.0
9998,00;9998,00;CABO PP 3X1.5MM RCM;MT;71.0;4.94;4.94;8.0;8.9;8544.11.00;0.0;102.0;18.0;0.0;0.0
9999,00;9999,00;CABO PP 3 X 1.5MM ENERGY;MT;73.0;3.75;3.75;6.0;6.7;8544.11.00;0.0;102.0;18.0;0.0;0.0
10009,00;10009,00;*FIO 6MM AMARELO SUPERASTIC PIRELE 750V;MT;16500000.0;4.03;4.03;4.85;5.4;8544.49.00;60.0;500.0;0.0;0.0;0.0
10011,00;10011,00;*FIO 6MM AZUL SUPERASTIC PIRELE 750V;MT;0.0;4.03;4.03;4.85;5.4;8544.49.00;60.0;500.0;0.0;0.0;0.0
10017,00;7890000000000,00;*PINO FEMEA 2P 10A CINZA TRAMONTINA ;UND;26.0;2.49;2.53;2.53;6.0;8536.69.10;60.0;500.0;0.0;0.0;0.0
10021,00;7900000000000,00;*PREGO 18X27 METALGRAMPO;KGS;0.0;12.06;13.02;27.0;30.0;7317.00.90;60.0;500.0;0.0;0.0;0.0
10058,00;10058,00;ESTRIBO 14X14 GERDAU;UND;215.0;0.61;0.61;1.2;1.35;7214.20.00;60.0;500.0;0.0;0.0;0.0
10086,00;10086,00;ESTRIBO 7X17 3.4MM FINO;UND;0.0;0.45;0.45;0.8;0.8;7214.20.00;60.0;500.0;0.0;0.0;0.0
10087,00;10087,00;ESTRIBO 7X22 VERG 3.4MM;UND;0.0;0.51;0.51;1.0;1.0;7214.20.00;60.0;500.0;0.0;0.0;0.0
10088,00;10088,00;ESTRIBO 17X17 4.2MM VERG;UND;100.0;0.55;0.55;1.2;1.35;7214.20.00;60.0;500.0;0.0;0.0;0.0
10090,00;10090,00;*REGISTRO ESFERA 25MM IRRIGACAO AZUL UNIFORTTE;UN;8.0;3.8;3.8;3.8;7.8;8424.82.29;60.0;500.0;0.0;0.0;0.0
10091,00;10091,00;*TUBO PVC ELETRODUTO 3/4 3M COFLEX ROSC;UN;8.0;8.85;8.85;8.85;15.6;3917.23.00;60.0;500.0;0.0;0.0;0.0
10095,00;10095,00;*DISCO SERRA CIRC WID MAD 7.1/4X300MM 24D MAX;UN;0.0;18.21;18.22;18.22;33.5;8202.39.00;0.0;102.0;18.0;0.0;0.0
